,census_tract,count
290,36047056300.0,7
291,36047056500.0,12
292,36047056900.0,14
293,36047057100.0,4
294,36047057300.0,1
295,36047057400.0,1
296,36047057500.0,12
297,36047057800.0,1
298,36047058200.0,2
299,36047058600.0,1
300,36047058900.0,2
301,36047059000.0,1
302,36047059100.0,1
303,36047059401.0,2
304,36047060000.0,4
305,36047060600.0,2
306,36047060800.0,2
307,36047062200.0,1
308,36047062600.0,1
309,36047062800.0,3
310,36047064000.0,1
311,36047064200.0,2
312,36047065000.0,1
313,36047065200.0,1
314,36047065600.0,1
315,36047065800.0,1
316,36047067600.0,1
317,36047068800.0,1
318,36047069000.0,2
319,36047072600.0,1
320,36047077400.0,1
321,36047078800.0,1
322,36047079400.0,1
323,36047079601.0,2
324,36047079801.0,2
325,36047079802.0,1
326,36047080000.0,2
327,36047080600.0,1
328,36047081600.0,1
329,36047082800.0,2
330,36047083600.0,1
331,36047084600.0,1
332,36047085800.0,1
333,36047086800.0,1
334,36047090200.0,1
335,36047093200.0,2
336,36047094401.0,1
337,36047095000.0,1
338,36047099000.0,1
339,36047107000.0,2
340,36047107800.0,1
341,36047114201.0,1
342,36047114400.0,1
343,36047117400.0,1
344,36047117800.0,1
345,36047118400.0,1
346,36047123700.0,1
347,36047152200.0,2
348,36061000100.0,34
349,36061000700.0,7
350,36061000800.0,1
351,36061000900.0,17
352,36061001200.0,1
353,36061001300.0,19
354,36061001401.0,10
355,36061001402.0,15
356,36061001501.0,11
357,36061001502.0,6
358,36061001600.0,11
359,36061001800.0,37
360,36061002100.0,26
361,36061002201.0,2
362,36061002202.0,11
363,36061002601.0,7
364,36061002602.0,14
365,36061002700.0,1
366,36061002800.0,9
367,36061002900.0,5
368,36061003001.0,49
369,36061003002.0,22
370,36061003100.0,8
371,36061003200.0,49
372,36061003300.0,24
373,36061003400.0,31
374,36061003601.0,14
375,36061003602.0,24
376,36061003700.0,10
377,36061003800.0,38
378,36061003900.0,5
379,36061004000.0,28
380,36061004100.0,17
381,36061004200.0,18
382,36061004300.0,19
383,36061004500.0,10
384,36061004700.0,24
385,36061004800.0,10
386,36061004900.0,11
387,36061005000.0,20
388,36061005200.0,21
389,36061005400.0,18
390,36061005501.0,2
391,36061005502.0,18
392,36061005600.0,8
393,36061005700.0,6
394,36061005800.0,21
395,36061005900.0,2
396,36061006100.0,10
397,36061006200.0,1
398,36061006300.0,13
399,36061006400.0,6
400,36061006500.0,42
401,36061006600.0,9
402,36061006700.0,33
403,36061006800.0,20
404,36061006900.0,7
405,36061007000.0,13
406,36061007100.0,16
407,36061007200.0,15
408,36061007300.0,38
409,36061007400.0,26
410,36061007500.0,42
411,36061007600.0,39
412,36061007700.0,19
413,36061007800.0,3
414,36061007900.0,34
415,36061008000.0,13
416,36061008100.0,7
417,36061008200.0,18
418,36061008300.0,33
419,36061008400.0,34
420,36061008700.0,13
421,36061008800.0,6
422,36061008900.0,6
423,36061009000.0,5
424,36061009100.0,10
425,36061009200.0,17
426,36061009300.0,11
427,36061009400.0,15
428,36061009500.0,23
429,36061009600.0,18
430,36061009700.0,3
431,36061009800.0,34
432,36061009900.0,70
433,36061010000.0,12
434,36061010100.0,20
435,36061010200.0,14
436,36061010300.0,6
437,36061010400.0,13
438,36061010601.0,5
439,36061010602.0,6
440,36061010800.0,8
441,36061010900.0,20
442,36061011000.0,8
443,36061011100.0,10
444,36061011201.0,10
445,36061011202.0,8
446,36061011203.0,10
447,36061011300.0,14
448,36061011401.0,4
449,36061011402.0,7
450,36061011500.0,23
451,36061011600.0,1
452,36061011700.0,25
453,36061011800.0,3
454,36061011900.0,24
455,36061012000.0,1
456,36061012100.0,25
457,36061012200.0,2
458,36061012400.0,3
459,36061012500.0,32
460,36061012600.0,3
461,36061012700.0,50
462,36061012800.0,3
463,36061012900.0,31
464,36061013000.0,5
465,36061013100.0,29
466,36061013200.0,2
467,36061013300.0,27
468,36061013400.0,20
469,36061013500.0,17
470,36061013700.0,18
471,36061013800.0,16
472,36061013900.0,10
473,36061014000.0,4
474,36061014200.0,4
475,36061014401.0,6
476,36061014500.0,11
477,36061014601.0,15
478,36061014602.0,8
479,36061014700.0,2
480,36061014801.0,2
481,36061014802.0,1
482,36061014900.0,4
483,36061015002.0,1
484,36061015100.0,1
485,36061015300.0,4
486,36061015400.0,10
487,36061015500.0,21
488,36061015601.0,2
489,36061015700.0,8
490,36061015801.0,6
491,36061015802.0,3
492,36061015900.0,2
493,36061016002.0,2
494,36061016100.0,13
495,36061016300.0,5
496,36061016500.0,13
497,36061016600.0,1
498,36061016700.0,1
499,36061016900.0,16
500,36061017100.0,11
501,36061017200.0,2
502,36061017300.0,2
503,36061017402.0,1
504,36061017500.0,1
505,36061017700.0,5
506,36061017800.0,1
507,36061017900.0,16
508,36061018000.0,2
509,36061018100.0,2
510,36061018200.0,3
511,36061018300.0,1
512,36061018400.0,1
513,36061018500.0,2
514,36061018700.0,10
515,36061018800.0,4
516,36061018900.0,4
517,36061019000.0,4
518,36061019100.0,4
519,36061019300.0,8
520,36061019400.0,1
521,36061019500.0,5
522,36061019702.0,2
523,36061019800.0,1
524,36061019900.0,2
525,36061020000.0,7
526,36061020101.0,1
527,36061020102.0,5
528,36061020500.0,19
529,36061020800.0,2
530,36061021100.0,2
531,36061021200.0,1
532,36061021400.0,1
533,36061021500.0,2
534,36061021600.0,1
535,36061021900.0,5
536,36061022000.0,1
537,36061022301.0,1
538,36061022302.0,2
539,36061022400.0,1
540,36061022500.0,5
541,36061022600.0,3
542,36061022700.0,6
543,36061022900.0,5
544,36061023000.0,3
545,36061023100.0,6
546,36061023200.0,1
547,36061023700.0,4
548,36061023801.0,3
549,36061023900.0,1
550,36061024100.0,1
551,36061024200.0,1
552,36061024500.0,1
553,36061025100.0,1
554,36061025300.0,1
555,36061025500.0,26
556,36061025700.0,12
557,36061026100.0,1
558,36061026300.0,4
559,36061026500.0,1
560,36061026900.0,1
561,36061027100.0,4
562,36061027300.0,3
563,36061027500.0,1
564,36061027900.0,4
565,36061028500.0,6
566,36061028700.0,8
567,36061029100.0,8
568,36061029300.0,11
569,36061029500.0,12
570,36061029700.0,1
571,36061029900.0,1
572,36061030300.0,2
573,36061030700.0,2
574,36061030900.0,2
575,36061031703.0,42
576,36061031704.0,12
577,36061031900.0,5
578,36081000400.0,1
579,36081000600.0,1
580,36081000700.0,19
581,36081001200.0,2
582,36081001900.0,7
583,36081002200.0,2
584,36081002500.0,1
585,36081002800.0,1
586,36081003100.0,2
587,36081003200.0,2
588,36081003300.0,4
589,36081004001.0,1
590,36081004002.0,1
591,36081005100.0,2
592,36081005300.0,1
593,36081005400.0,3
594,36081005500.0,4
595,36081005700.0,6
596,36081005800.0,1
597,36081005900.0,17
598,36081006100.0,9
599,36081006300.0,6
600,36081006501.0,5
601,36081006502.0,11
602,36081006900.0,2
603,36081007100.0,4
604,36081007500.0,9
605,36081007900.0,1
606,36081008300.0,4
607,36081008800.0,3
608,36081009400.0,2
609,36081009600.0,3
610,36081009700.0,1
611,36081009800.0,3
612,36081010100.0,1
613,36081010200.0,3
614,36081010300.0,3
615,36081011100.0,2
616,36081011300.0,11
617,36081011500.0,5
618,36081011700.0,6
619,36081011800.0,1
620,36081011900.0,1
621,36081012000.0,1
622,36081012301.0,1
623,36081012500.0,2
624,36081012602.0,1
625,36081013200.0,3
626,36081013600.0,1
627,36081014201.0,1
628,36081014202.0,2
629,36081014300.0,18
630,36081014400.0,2
631,36081014500.0,1
632,36081014700.0,1
633,36081014900.0,6
634,36081015100.0,4
635,36081015200.0,2
636,36081015300.0,2
637,36081015500.0,15
638,36081015600.0,1
639,36081015700.0,3
640,36081015801.0,1
641,36081015802.0,2
642,36081015900.0,1
643,36081016900.0,1
644,36081017000.0,1
645,36081017800.0,1
646,36081017900.0,2
647,36081018000.0,1
648,36081018101.0,2
649,36081018102.0,5
650,36081018300.0,6
651,36081018501.0,1
652,36081018502.0,2
653,36081019900.0,1
654,36081020200.0,1
655,36081020400.0,1
656,36081020600.0,2
657,36081020800.0,1
658,36081021200.0,1
659,36081022900.0,1
660,36081023000.0,1
661,36081023600.0,1
662,36081023800.0,2
663,36081024900.0,6
664,36081025100.0,2
665,36081025301.0,2
666,36081025302.0,1
667,36081025400.0,1
668,36081025700.0,1
669,36081025900.0,2
670,36081026100.0,3
671,36081026300.0,1
672,36081026500.0,2
673,36081026700.0,8
674,36081026901.0,3
675,36081027100.0,1
676,36081027300.0,2
677,36081027900.0,2
678,36081028100.0,3
679,36081028300.0,1
680,36081028900.0,1
681,36081029100.0,2
682,36081029300.0,1
683,36081029500.0,1
684,36081030903.0,1
685,36081031700.0,1
686,36081032700.0,3
687,36081032900.0,2
688,36081033100.0,6
689,36081033401.0,1
690,36081033700.0,6
691,36081033900.0,1
692,36081034700.0,1
693,36081035700.0,7
694,36081036100.0,2
695,36081036700.0,1
696,36081037100.0,3
697,36081037700.0,2
698,36081037900.0,1
699,36081038301.0,3
700,36081039900.0,1
701,36081040100.0,1
702,36081040900.0,1
703,36081041100.0,1
704,36081044601.0,1
705,36081044602.0,1
706,36081046200.0,3
707,36081046700.0,1
708,36081046900.0,1
709,36081047000.0,1
710,36081047900.0,2
711,36081048300.0,2
712,36081048500.0,1
713,36081048900.0,1
714,36081049200.0,1
715,36081049302.0,2
716,36081049600.0,1
717,36081050000.0,1
718,36081051100.0,2
719,36081051300.0,1
720,36081052000.0,1
721,36081052100.0,2
722,36081052500.0,1
723,36081053800.0,1
724,36081053900.0,2
725,36081054500.0,1
726,36081054700.0,3
727,36081054900.0,2
728,36081055100.0,2
729,36081055300.0,1
730,36081055500.0,2
731,36081055700.0,1
732,36081055900.0,2
733,36081056400.0,2
734,36081056600.0,1
735,36081056700.0,1
736,36081057700.0,1
737,36081058100.0,4
738,36081058300.0,4
739,36081058700.0,2
740,36081058900.0,5
741,36081059100.0,1
742,36081059200.0,1
743,36081059300.0,1
744,36081059500.0,1
745,36081059900.0,1
746,36081060100.0,1
747,36081060300.0,1
748,36081060600.0,1
749,36081060800.0,1
750,36081061602.0,4
751,36081061800.0,2
752,36081061900.0,1
753,36081062100.0,1
754,36081062200.0,2
755,36081062300.0,1
756,36081062700.0,1
757,36081063000.0,1
758,36081063500.0,1
759,36081063700.0,2
760,36081064500.0,1
761,36081065400.0,1
762,36081065600.0,65
763,36081065702.0,1
764,36081066400.0,1
765,36081067100.0,1
766,36081067700.0,1
767,36081067900.0,4
768,36081068300.0,2
769,36081069300.0,1
770,36081070300.0,1
771,36081071600.0,38
772,36081071702.0,2
773,36081073100.0,2
774,36081073700.0,11
775,36081073900.0,5
776,36081076901.0,1
777,36081076902.0,3
778,36081077500.0,2
779,36081077904.0,1
780,36081077905.0,1
781,36081078800.0,1
782,36081079200.0,3
783,36081079900.0,1
784,36081080900.0,1
785,36081081800.0,2
786,36081083700.0,1
787,36081084000.0,1
788,36081084900.0,4
789,36081085300.0,1
790,36081086500.0,3
791,36081086900.0,2
792,36081087100.0,18
793,36081088400.0,3
794,36081091601.0,3
795,36081091800.0,1
796,36081092500.0,3
797,36081093401.0,2
798,36081093402.0,3
799,36081093800.0,2
800,36081094201.0,5
801,36081094202.0,1
802,36081094203.0,4
803,36081094500.0,2
804,36081094700.0,1
805,36081098100.0,1
806,36081099703.0,1
807,36081101002.0,31
808,36081101700.0,2
809,36081102900.0,1
810,36081103202.0,4
811,36081103900.0,2
812,36081104700.0,1
813,36081107201.0,1
814,36081109700.0,1
815,36081112300.0,17
816,36081113900.0,2
817,36081114100.0,1
818,36081115500.0,1
819,36081115700.0,2
820,36081116700.0,5
821,36081117100.0,5
822,36081117500.0,1
823,36081118100.0,2
824,36081118500.0,7
825,36081119100.0,1
826,36081120100.0,1
827,36081122300.0,1
828,36081125700.0,1
829,36081129104.0,1
830,36081130100.0,1
831,36081133900.0,1
832,36081134700.0,2
833,36081141700.0,1
834,36081145101.0,1
835,36081145900.0,1
836,36081146700.0,3
837,36081147100.0,1
838,36081147900.0,3
839,36081148300.0,1
840,36081150702.0,9
841,36081155101.0,15
842,36081157101.0,2
843,36081157901.0,269
844,36081157903.0,73
845,36081161700.0,3
846,36081162100.0,1
847,36085000300.0,2
848,36085000800.0,3
849,36085001700.0,3
850,36085002100.0,1
851,36085002700.0,3
852,36085004000.0,1
853,36085005900.0,1
854,36085006700.0,1
855,36085007400.0,1
856,36085008100.0,1
857,36085008900.0,10
858,36085009602.0,3
859,36085009700.0,5
860,36085010500.0,3
861,36085011401.0,2
862,36085012100.0,2
863,36085012200.0,5
864,36085012500.0,1
865,36085012804.0,2
866,36085013203.0,2
867,36085014605.0,2
868,36085015601.0,3
869,36085015603.0,1
870,36085017005.0,2
871,36085017007.0,2
872,36085017011.0,1
873,36085018701.0,3
874,36085019800.0,1
875,36085020100.0,4
876,36085020700.0,14
877,36085020801.0,4
878,36085021300.0,2
879,36085022600.0,4
880,36085022800.0,1
881,36085024401.0,4
882,36085024700.0,1
883,36085024800.0,6
884,36085027301.0,1
885,36085027702.0,3
886,36085027706.0,1
887,36085029102.0,13
888,36085029103.0,3
889,36085029104.0,2
890,36085030301.0,1
891,36085031901.0,2
892,36085031902.0,114
893,36085032300.0,65
